id,userId,courseId,purchaseId,createdAt,updatedAt
4c5be156-dfa8-448e-8e73-f75dd1a377c5,e1663103-8278-4b7c-a019-94a5ebfa4541,be766134-111b-4a83-afdd-d6c54596d486,5533e39f-d38b-4448-bf86-17203fda8432,2024-08-08 01:40:13.801+00,2024-08-08 01:40:13.801+00
dd09415b-f02e-40d8-bc5b-662cb1c87f49,e1663103-8278-4b7c-a019-94a5ebfa4541,880369a6-6b14-4a6b-b3cb-4aaabc33369a,5533e39f-d38b-4448-bf86-17203fda8432,2024-08-08 01:40:13.809+00,2024-08-08 01:40:13.809+00
88d1c8cd-7f74-411d-91d7-aa80734030f2,e1663103-8278-4b7c-a019-94a5ebfa4541,3857b311-0df8-462f-a042-6a560f3528eb,5533e39f-d38b-4448-bf86-17203fda8432,2024-08-08 01:40:13.816+00,2024-08-08 01:40:13.816+00
730cadf9-ac9e-446b-a73b-9adc21843337,d363475c-c033-48b3-85ec-a0c674030979,3b3a5d08-696f-42a3-856d-09992761a09e,85df04ca-3f48-4143-b9dd-862d4a5e5fb3,2024-08-08 01:40:15.647+00,2024-08-08 01:40:15.647+00
92886e87-95e0-42ee-adbc-e90c1bd25817,d363475c-c033-48b3-85ec-a0c674030979,21a45a4f-052d-4bfc-920e-adcda1cfe19c,85df04ca-3f48-4143-b9dd-862d4a5e5fb3,2024-08-08 01:40:15.654+00,2024-08-08 01:40:15.654+00
01e1506e-29b9-42c2-bb05-7dd180cc1150,d363475c-c033-48b3-85ec-a0c674030979,be766134-111b-4a83-afdd-d6c54596d486,85df04ca-3f48-4143-b9dd-862d4a5e5fb3,2024-08-08 01:40:15.662+00,2024-08-08 01:40:15.662+00
cd323da4-22a0-4161-a8a0-fae063aaa44e,d363475c-c033-48b3-85ec-a0c674030979,880369a6-6b14-4a6b-b3cb-4aaabc33369a,85df04ca-3f48-4143-b9dd-862d4a5e5fb3,2024-08-08 01:40:15.671+00,2024-08-08 01:40:15.671+00
55c3e6c8-7bcb-4899-b82d-905f54748ed4,4b08c92f-a9e0-4d0d-a9bf-d1b7906305f8,21a45a4f-052d-4bfc-920e-adcda1cfe19c,652a4765-e452-43d9-af30-1a7251f1ac39,2024-08-08 01:40:18.075+00,2024-08-08 01:40:18.075+00
239b0d1e-2e3a-4298-82db-928bfc6ad1b8,4b08c92f-a9e0-4d0d-a9bf-d1b7906305f8,3b3a5d08-696f-42a3-856d-09992761a09e,652a4765-e452-43d9-af30-1a7251f1ac39,2024-08-08 01:40:18.085+00,2024-08-08 01:40:18.085+00
fd70ed20-b003-4931-b4f8-3bb4b0fb714f,4b08c92f-a9e0-4d0d-a9bf-d1b7906305f8,57e069f8-7059-4d2f-83d6-3f16f7aa0938,652a4765-e452-43d9-af30-1a7251f1ac39,2024-08-08 01:40:18.094+00,2024-08-08 01:40:18.094+00
0adcf413-6102-40ed-8323-6203b052f59a,4b08c92f-a9e0-4d0d-a9bf-d1b7906305f8,880369a6-6b14-4a6b-b3cb-4aaabc33369a,652a4765-e452-43d9-af30-1a7251f1ac39,2024-08-08 01:40:18.103+00,2024-08-08 01:40:18.103+00
78577c7f-d0df-4b73-a369-b2c090245f98,4b08c92f-a9e0-4d0d-a9bf-d1b7906305f8,3857b311-0df8-462f-a042-6a560f3528eb,652a4765-e452-43d9-af30-1a7251f1ac39,2024-08-08 01:40:18.119+00,2024-08-08 01:40:18.119+00
06aaa417-3004-40dd-a3ec-16c02cccd978,24267de3-0057-4ee8-a9d4-979ef85ffe1f,3b3a5d08-696f-42a3-856d-09992761a09e,c5bab90f-e6da-4581-b923-da4ed19cf310,2024-08-08 01:40:19.333+00,2024-08-08 01:40:19.333+00
cbb3385c-67bf-4e43-b314-3405ac6fd447,24267de3-0057-4ee8-a9d4-979ef85ffe1f,21a45a4f-052d-4bfc-920e-adcda1cfe19c,c5bab90f-e6da-4581-b923-da4ed19cf310,2024-08-08 01:40:19.339+00,2024-08-08 01:40:19.339+00
