id,isPaid,createdAt,updatedAt,buyOrder,userId,coursesIds
88b2c7c5-16d6-4848-8025-b246f50a972d,t,2024-08-08 01:41:27.999+00,2024-08-08 01:43:23.955+00,4e1f1278ac87fcb07df4443319,9daa3fe3-5c68-4234-b559-521e8e8b858b,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec}"
2745d994-d1c4-4600-8234-0a52f6b73be9,t,2024-08-08 01:42:26.231+00,2024-08-08 01:44:03.982+00,07f2a13e3a6c1faf1b1c753494,cfd80c72-16a9-4d6f-a923-8754179f0172,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
8a8d8c20-d735-43b9-bf68-e0fb0c8c7b4a,t,2024-08-08 01:41:46.673+00,2024-08-08 01:44:08.599+00,adaa61f26bf9de86ff45aa9b66,b361ed09-c89f-4ea6-9343-61829bc952a3,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
e886dbcd-718d-4949-94cf-a21a1be6fa08,t,2024-08-08 01:43:02.441+00,2024-08-08 01:44:54.805+00,9e2c100adb81269cc330bfd4d8,82094f8e-2ed5-48ec-b5c8-f7f1f3db5344,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
eea50c58-97d8-4d1e-84e4-0b0ada6cf04f,t,2024-08-08 01:41:51.545+00,2024-08-08 01:45:03.654+00,fd8b5e617f626f72931b2b230c,189f6707-cf26-4d16-9ef1-8a03b6067280,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec}"
f726e018-74b8-4d4f-b0ee-fadca7907b1f,t,2024-08-08 01:40:42.357+00,2024-08-08 01:45:11.051+00,b5e7c363acf56035bfa01996ce,3b6e0c74-360d-4170-9f9a-0c1b182ca554,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
f85553bf-5211-4be1-a99e-9129c1fbf798,t,2024-08-08 01:39:56.411+00,2024-08-08 01:45:42.778+00,c57391b542d2f7174c238c8be0,e8d98bf2-8fad-4808-a0a9-5d9052e044c1,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
dbd64b69-32fb-4b23-8e33-a6a49bc43c38,t,2024-08-08 01:43:38.412+00,2024-08-08 01:45:49.238+00,84eee12c2962502c3724132ed1,c2920335-4fee-4415-88f3-d9fd47613c3c,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,f5fb2002-9ed8-4520-99ef-46df7e453375}"
6f56f0ec-ec30-49b7-8776-33c70cc463d5,t,2024-08-08 01:42:45.283+00,2024-08-08 01:46:45.422+00,aa5f48038088ff9267fcb1cff5,8678c97a-8fa1-48e8-8cac-98dfd096d8d6,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
6afe370f-00a6-4ace-b34d-037a3b2c9786,t,2024-08-08 01:40:33.227+00,2024-08-08 01:47:08.582+00,b357853a64c3bbc6ff59f27d93,9bb2e6c1-735d-4d22-b8f2-b06944f18c3f,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
5ff9616b-d38b-4f76-84d4-7ffed2c41ec3,t,2024-08-08 01:39:49.87+00,2024-08-08 01:49:39.902+00,e99e57da9008e1a4952013fbbe,2550543f-109d-4231-b09b-e6e2a040fb85,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a}"
